time,X,Y,Z
2009-01-01,1.3098980569694743,-1.8904019256298135,-1.7794688023227476
2009-01-02,-0.299938042403242,-1.8247309017308997,2.398925133113737
2009-01-03,0.536475012262886,-1.0360685974515387,-3.98697977071294
2009-01-04,-1.8839080177420178,-0.5217838968579932,-2.8306548990407485
2009-01-05,-0.9605236142913735,-2.2168334921282327,1.4371517117119361
2009-01-06,-1.1852896576065972,-2.8935092410204866,3.3978414042157543
2009-01-07,-0.8520705598024025,-2.167948176956802,-1.2010825844501143
2009-01-08,0.2523417204877737,-0.3285411651231233,-1.5316047270579687
2009-01-09,0.40257136394542437,1.964078984798918,-6.808788298292381
2009-01-10,-0.6438350002601568,2.6861838168176297,-2.559093207111715
